Da Vinci Code
marriage story
inferno
silence of the lambs
the shining
green mile
nocturnal animals
enemy
American Beauty
Unfriended
Andhadhun
Secret Superstar
Me Before You
Five Feet Apart
Flipped
I Still Believe
Remember Me
Friends With Benefits 2011
The Shape Of Water 2017
Rich In Love
Call Me By Your Name 2017
Can You Keep A Secret 2019
500 Days of Summer
The Losers (2020)
Sherlock
Murder Mystery
Murder On the Orient Express
Death On The Nile
Dead to Me
In Bruges
The billion dollar
The Orphan
The Call
Get Out
